threshold,f1,mcc,precision,recall
0.77,0.8202479338842975,0.7628884856996431,0.8253638253638254,0.8151950718685832
0.775,0.8198757763975155,0.7625763819115046,0.826722338204593,0.813141683778234
0.78,0.817047817047817,0.7592292315344465,0.8273684210526315,0.8069815195071869
0.785,0.8145833333333333,0.7561862945117319,0.8266384778012685,0.8028747433264887
0.79,0.812957157784744,0.7543636685199533,0.8276595744680851,0.7987679671457906
0.795,0.8100734522560336,0.7510228238056327,0.8283261802575107,0.7926078028747433
0.8,0.8100734522560336,0.7510228238056327,0.8283261802575107,0.7926078028747433
0.805,0.8109243697478992,0.7522565342303382,0.8301075268817204,0.7926078028747433
0.81,0.813953488372093,0.7569589603051993,0.8387799564270153,0.7905544147843943
0.8150000000000001,0.8148148148148148,0.7582142324192396,0.8406113537117904,0.7905544147843943
0.8200000000000001,0.8170212765957446,0.7617594724544885,0.847682119205298,0.7885010266940452
0.8250000000000001,0.8137044967880086,0.7582719301930742,0.8501118568232662,0.7802874743326489
0.8300000000000001,0.8137044967880086,0.7582719301930742,0.8501118568232662,0.7802874743326489
0.835,0.8056155507559395,0.748967419675535,0.8496583143507973,0.7659137577002053
0.84,0.8013029315960912,0.7442019491395659,0.8502304147465438,0.757700205338809
0.845,0.7973856209150327,0.7396429757236292,0.8491879350348028,0.7515400410677618
0.85,0.7947598253275109,0.7365989623688,0.8484848484848485,0.7474332648870636
0.855,0.7841409691629956,0.7243838730693318,0.8456057007125891,0.731006160164271
0.86,0.7809734513274337,0.7211196681820267,0.8465227817745803,0.7248459958932238
0.865,0.7848383500557413,0.7276798811432663,0.8585365853658536,0.7227926078028748
0.87,0.785234899328859,0.72888895214017,0.8624078624078624,0.7207392197125256
0.875,0.7787810383747178,0.7225060211536242,0.8646616541353384,0.7084188911704312
0.88,0.7744874715261959,0.719077970208847,0.8695652173913043,0.6981519507186859
0.885,0.7725714285714286,0.7174404705098403,0.8711340206185567,0.6940451745379876
0.89,0.7701149425287356,0.7157136063425484,0.8746736292428199,0.6878850102669405
0.895,0.7731481481481481,0.7214249389869957,0.8859416445623343,0.6858316221765913
0.9,0.7731481481481481,0.7214249389869957,0.8859416445623343,0.6858316221765913
0.905,0.7668997668997669,0.7152879683139857,0.8867924528301887,0.675564681724846
0.91,0.763807285546416,0.713655661246945,0.8928571428571429,0.6673511293634496
0.915,0.7529691211401425,0.702956057524336,0.8929577464788733,0.6509240246406571
0.92,0.7494033412887828,0.6998874969535083,0.8945868945868946,0.6447638603696099
0.925,0.7458033573141487,0.6968248642573169,0.8962536023054755,0.6386036960985626
0.93,0.7387606318347509,0.6923290143088917,0.9047619047619048,0.6242299794661191
0.935,0.7352941176470589,0.690975094276674,0.9118541033434651,0.6160164271047228
0.9400000000000001,0.7335811648079306,0.6929984440445552,0.925,0.6078028747433265
0.9450000000000001,0.7236180904522613,0.6857754397565751,0.9320388349514563,0.5913757700205339
0.9500000000000001,0.7137355584082157,0.6826011013807392,0.952054794520548,0.5708418891170431
0.9550000000000001,0.7005208333333334,0.6724112972937708,0.9572953736654805,0.5523613963039015
0.96,0.6879150066401063,0.6663382752067681,0.9736842105263158,0.5318275154004107
0.965,0.6657645466847091,0.6481807869171413,0.9761904761904762,0.5051334702258727
0.97,0.6437414030261348,0.6293752616619923,0.975,0.4804928131416838
0.975,0.6160337552742616,0.6075055977700462,0.9776785714285714,0.44969199178644764
0.98,0.5867052023121387,0.587979846006773,0.9902439024390244,0.41683778234086244
0.985,0.5548961424332344,0.5660787922206242,1.0,0.3839835728952772
0.99,0.5015384615384615,0.5250421957036896,1.0,0.3347022587268994
0.995,0.4391025641025641,0.47797902556055416,1.0,0.2813141683778234
1.0,0.0,0.0,0.0,0.0
